subject,block,total_runtime_mins,gradcpt_trial,probe,trial,item_name,low_anchor,high_anchor,item_onset_s,response,slider_rt,enter_rt
064424,0,0.8410472666666667,44,1,1,movement,unmoving,moving freely,40.197779,0.7133333333333334,1.787760599999956,0.43383940000001076
064424,0,0.8646735999999999,44,1,2,distractedness,on-task,off-task,42.962505,0.32833333333333337,0.596319400000084,0.2860492999999451
064424,0,0.8830311,44,1,3,disengage_difficulty,"extremely
easy","extremely
difficult",44.380548,0.5983333333333334,0.4792377999999644,0.08412450000002991
064424,0,0.8997177666666667,44,1,4,deliberate,"completely
unintentional","completely
intentional",45.481646,0.5083333333333333,0.4317801000000827,0.03329669999993712
064424,0,0.92585245,44,1,5,affect,"completely
negative","completely
positive",46.482826,0.6733333333333333,0.5483609999999999,0.4756057999999257
064424,0,0.9664488999999999,44,1,6,confidence,"completely
unconfident","completely
confident",48.051489,0.575,1.0459172999999282,0.8484737999999652
064424,0,1.3212827,61,2,1,movement,unmoving,moving freely,69.360129,0.21999999999999997,1.8461478000000398,0.020394000000010237
064424,0,1.33907095,61,2,2,deliberate,"completely
unintentional","completely
intentional",71.776555,0.74,0.46411749999992935,0.06545610000000579
064424,0,1.3657682666666666,61,2,3,distractedness,on-task,off-task,72.846314,0.42166666666666663,0.8129232999999658,0.24793669999996837
064424,0,1.3927439,61,2,4,affect,"completely
negative","completely
positive",74.447794,0.4683333333333333,0.9465025000000651,0.1324334999999337
064424,0,1.4169304166666667,61,2,5,disengage_difficulty,"extremely
easy","extremely
difficult",76.064539,0.5316666666666666,0.7477297000000362,0.15412309999999252
064424,0,1.4377979,61,2,6,confidence,"completely
unconfident","completely
confident",77.516356,0.505,0.6476067999999486,0.06311160000007021
